a,b,c
0,0,0
1,1,0
2,7,0
3,4,0
4,14,2
5,29,6
6,18,3
7,29,1
8,38,4
9,33,6
10,31,1
11,37,6
12,46,2
13,48,0
14,54,1
15,53,4
16,49,0
17,57,0
18,78,2
19,58,1
20,52,1
21,98,2
22,44,3
23,95,3
24,71,7
25,57,11
26,86,16
27,66,22
28,79,34
29,115,94
30,104,90
31,48,87
32,107,166
33,95,216
34,99,219
35,104,237
36,146,459
37,108,377
38,96,348
39,74,276
40,140,474
41,104,374
42,56,264
43,83,389
44,67,319
45,266,996
46,78,370
47,54,267
48,122,470
49,139,532
50,77,344
51,30,145
52,69,315
53,86,435
54,28,146
55,13,81
56,57,308
57,14,78
58,2,11
59,34,140
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
